"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"CANCELLED","173707855898707264_1","2025-07-07","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","36A","1","743.0","743.0",
"DELIVERED","173708554796855424_1","2025-07-07","Assam","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","32A","1","734.0","734.0","ONF062537065704"
"DELIVERED","173718312587379456_1","2025-07-07","Meghalaya","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","L","1","743.0","743.0","ONF062537065630"
"DELIVERED","173721909233026368_1","2025-07-07","Karnataka","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","XXL","1","734.0","734.0","ONF062537065719"
"CANCELLED","173722413891077120_1","2025-07-07","Maharashtra","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","XL","1","743.0","743.0",
"DELIVERED","173723665825591425_1","2025-07-07","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","r7CkYnwW","30A","1","743.0","743.0","ONF062537065703"
"DELIVERED","173726882670938368_1","2025-07-07","Gujarat","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","XXL","1","734.0","734.0","ONF062537065716"
"DELIVERED","173729412265341056_1","2025-07-07","Bihar","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","36A","1","743.0","743.0","ONF062537065708"
"DELIVERED","173765276290838656_1","2025-07-07","Tamil Nadu","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","XL","1","734.0","734.0","ONF062537065697"
"DELIVERED","173819259846756288_1","2025-07-07","Rajasthan","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","XL","1","743.0","743.0","ONF062537065700"
"DELIVERED","173823743666177024_1","2025-07-07","Maharashtra","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","XXL","1","734.0","734.0","ONF062537065693"
"DELIVERED","173837804103334018_1","2025-07-07","Maharashtra","Women's Cotton Front Hook Bra - Deep Panel & Molded Cups for Everyday Comfort","Cotton Front Hook Bra","M","1","780.0","780.0","ONF062537065625"
"DELIVERED","173845780963625216_1","2025-07-07","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","30A","1","734.0","734.0","ONF062537065698"
"DELIVERED","173851039374525440_1","2025-07-07","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","S","1","743.0","743.0","ONF062537065628"
"RTO_COMPLETE","173893932677920896_1","2025-07-08","Haryana","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","r7CkYnwW","30A","1","743.0","743.0","ONF062537065690"
"CANCELLED","173981615555643008_1","2025-07-08","Madhya Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","r7CkYnwW","30A","1","743.0","743.0",
"DELIVERED","173982023055066112_1","2025-07-08","Madhya Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","r7CkYnwW","30A","1","743.0","743.0","ONF062537065679"
"DELIVERED","174007411611567744_1","2025-07-08","Andhra Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","tmcA8cP5","36A","1","734.0","734.0","ONF062537065691"
"DELIVERED","174047255767320192_1","2025-07-08","Maharashtra","High Waist Mid Thigh Shaper Women's Shapewear","jSAh_woJ","XXXL","1","112.0","112.0","ONF062537065694"
"RTO_COMPLETE","174082444734596416_1","2025-07-08","Jharkhand","High Waist Mid Thigh Shaper Women's Shapewear","jSAh_woJ","XXL","1","110.0","110.0",
"DELIVERED","174121366328019200_1","2025-07-08","Karnataka","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","L","1","743.0","743.0","ONF062537065685"
"DELIVERED","174147426160801923_1","2025-07-08","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","XXL","1","743.0","743.0","ONF062537065692"
"DELIVERED","174163412706673664_1","2025-07-08","Karnataka","Women's Cotton Front Hook Bra - Deep Panel & Molded Cups for Everyday Comfort","Cotton Front Hook Bra","XL","1","758.0","758.0","ONF062537065696"
"DOOR_STEP_EXCHANGED","172245055937987328_1","2025-07-08","West Bengal","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","S","1","734.0","734.0","ONF062537065622"
"DELIVERED","174203100511963394_1","2025-07-08","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","r7CkYnwW","XXL","1","743.0","743.0","ONF062537065683"
"RTO_COMPLETE","174208444293727232_1","2025-07-08","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","r7CkYnwW","30A","1","743.0","743.0","ONF062537065681"
"DELIVERED","174398274115793024_1","2025-07-09","Gujarat","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","S","1","734.0","734.0","ONF062537065635"
"CANCELLED","174404052741359872_1","2025-07-09","Uttar Pradesh","Women's Cotton Front Hook Bra - Deep Panel & Molded Cups for Everyday Comfort","Cotton Front Hook Bra","M","1","780.0","780.0",
"DOOR_STEP_EXCHANGED","171999164551414912_1","2025-07-09","West Bengal","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","L","1","734.0","734.0","ONF062537065636"
"RTO_COMPLETE","174465225439855616_1","2025-07-09","Bihar","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","XXL","1","743.0","743.0","ONF062537065684"
"DELIVERED","174465745716283008_1","2025-07-09","Karnataka","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","XL","1","734.0","734.0","ONF062537065623"
"DELIVERED","174503460318539904_1","2025-07-09","Odisha","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","28A","1","734.0","734.0","ONF062537065634"
"DELIVERED","174514522036668032_1","2025-07-09","Jammu & Kashmir","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","tmcA8cP5","36A","1","734.0","734.0","ONF062537065627"
"DELIVERED","174516957169878657_1","2025-07-09","Telangana","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","36A","1","743.0","743.0","ONF062537065624"
"RTO_COMPLETE","174540536895763392_1","2025-07-09","Gujarat","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","r7CkYnwW","M","1","743.0","743.0","ONF062537065680"
"DELIVERED","174554802240157825_1","2025-07-09","Madhya Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","32A","1","743.0","743.0","ONF062537065678"
"DELIVERED","174564285618946752_1","2025-07-09","Gujarat","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","34A","1","743.0","743.0","ONF062537065677"
"CANCELLED","174591051466835584_1","2025-07-10","Maharashtra","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","S","1","734.0","734.0","ONF062537065689"
"RTO_COMPLETE","174768831352534144_1","2025-07-10","Gujarat","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","XL","1","734.0","734.0","ONF062537065632"
